"educ","abd","fthr_ed","hh_size96","mthr_ed","orphan96","hh_fthr_frm","age"
5,1,4,12,0,0,1,29
5,0,4,7,0,0,1,14
6,1,10,7,0,0,0,14
2,1,7,9,4,0,1,25
13,1,4,8,0,0,1,20
8,1,10,8,0,0,1,22
3,0,10,17,0,0,1,21
7,0,4,5,0,0,1,16
5,1,10,7,7,0,1,14
5,0,0,12,0,0,1,14
6,1,4,6,0,0,1,30
7,1,7,2,4,0,1,25
3,1,4,5,0,0,1,25
5,1,4,7,0,0,1,25
6,1,4,8,0,1,1,29
7,1,4,8,0,1,1,25
3,1,4,4,0,0,1,29
5,0,0,6,7,0,1,28
3,1,7,5,0,0,1,18
7,0,10,17,0,0,1,28
7,1,0,5,0,0,1,15
8,0,4,6,0,0,1,18
6,1,4,7,4,0,1,26
7,1,7,5,4,0,1,22
4,1,0,5,0,0,1,25
6,1,4,18,0,0,1,15
8,1,4,18,0,0,1,25
13,0,4,9,0,0,1,20
10,1,10,10,0,0,1,30
8,1,7,5,0,0,1,16
6,1,7,8,0,0,0,15
8,0,7,8,4,0,0,21
6,0,10,19,7,0,1,22
2,1,4,7,0,1,1,21
5,1,7,6,4,0,1,14
6,1,0,5,0,0,1,22
6,1,4,14,0,0,1,20
3,1,4,19,4,0,0,16
13,1,4,5,0,0,1,30
14,1,4,10,7,0,1,22
5,1,7,7,0,1,1,14
7,0,7,7,4,0,1,23
6,1,0,4,0,0,1,19
2,1,7,9,4,0,1,20
9,1,4,5,0,0,1,17
7,1,7,5,0,1,1,30
7,1,0,6,0,0,1,28
9,1,0,9,0,0,1,21
4,1,4,3,4,0,1,28
5,1,4,8,0,0,1,16
9,0,7,9,0,0,1,19
8,1,4,7,0,0,0,26
10,0,10,8,7,1,1,25
5,0,0,5,0,0,1,16
5,1,7,3,0,0,1,18
6,1,7,8,0,0,0,21
5,1,4,5,4,0,1,14
9,0,4,6,0,0,1,19
10,1,10,6,0,0,1,19
7,1,0,6,0,0,1,27
5,1,10,10,0,0,1,30
7,1,4,8,0,0,1,22
7,1,4,8,0,0,1,25
9,1,10,7,0,0,1,16
10,0,15,6,4,1,1,18
6,1,4,5,0,0,1,18
5,1,0,4,0,0,1,30
6,1,4,6,0,0,1,22
3,1,4,7,0,0,1,25
7,1,10,4,0,0,1,20
6,0,7,8,7,0,1,25
11,1,10,7,4,0,0,18
7,1,10,9,0,0,1,14
7,1,7,8,0,0,1,20
5,1,4,8,0,0,1,16
5,1,4,4,4,0,1,25
11,1,4,11,7,1,1,20
5,1,7,18,4,0,1,16
14,1,10,13,4,0,1,29
9,1,4,5,4,0,1,18
9,1,4,6,0,0,1,26
6,0,4,6,4,0,1,16
5,1,0,7,0,0,1,17
9,1,0,7,0,0,1,28
6,1,10,8,4,0,1,19
9,1,7,7,4,0,1,16
6,1,7,7,0,0,1,15
5,1,7,8,4,0,1,24
9,1,4,11,4,0,1,15
6,1,0,5,0,0,1,16
7,1,7,8,0,0,0,19
5,1,4,4,4,0,1,21
3,1,0,9,0,0,1,30
