"","councilnumber","year","logSgwaPercap","treat","first_treat","cohort"
"127",8,1996,1.11762762069702,0,1992,1
"128",8,1997,0.669592559337616,0,1992,1
"129",8,1998,0.651904225349426,0,1992,1
"130",8,1999,0.651904225349426,0,1992,1
"131",8,2000,0.933955550193787,0,1992,1
"132",8,2001,0.874678492546082,0,1992,1
"133",8,2002,0.949484884738922,0,1992,1
"134",8,2003,1.7356823682785,0,1992,1
"135",8,2004,1.75361657142639,0,1992,1
"136",8,2005,1.76560997962952,0,1992,1
"137",8,2006,1.84228587150574,0,1992,1
"138",8,2007,2.34703683853149,0,1992,1
"139",8,2008,2.28140163421631,0,1992,1
"140",8,2009,2.27006196975708,0,1992,1
"141",8,2010,2.46638083457947,1,1992,1
"142",8,2011,2.76013207435608,0,1992,1
"143",8,2012,2.62661170959473,0,1992,1
"148",10,1992,0.252262383699417,0,2010,3
"149",10,1993,0.279584914445877,0,2010,3
"150",10,1994,0.36822098493576,0,2010,3
"151",10,1995,0.331853270530701,0,2010,3
"152",10,1996,0.316119968891144,0,2010,3
"153",10,1997,0.317687451839447,0,2010,3
"154",10,1998,0.348268806934357,0,2010,3
"155",10,1999,0.371255159378052,0,2010,3
"156",10,2000,0.362988173961639,0,2010,3
"157",10,2001,0.635623335838318,0,2010,3
"158",10,2002,0.953621983528137,0,2010,3
"159",10,2003,1.40556848049164,0,2010,3
"160",10,2004,1.10555326938629,0,2010,3
"161",10,2005,2.08151149749756,0,2010,3
"162",10,2006,2.21194791793823,0,2010,3
"163",10,2007,1.91436171531677,0,2010,3
"164",10,2008,1.80044257640839,0,2010,3
"165",10,2009,2.07526850700378,0,2010,3
"166",10,2010,2.07302904129028,1,2010,3
"167",10,2011,2.08447217941284,1,2010,3
"168",10,2012,2.22944712638855,1,2010,3
"169",11,1992,0.508322536945343,0,NA,0
"170",11,1993,0.54815685749054,0,NA,0
"171",11,1994,0.809557557106018,0,NA,0
"172",11,1995,0.83665943145752,0,NA,0
"173",11,1996,0.849989712238312,0,NA,0
"174",11,1997,0.819027423858643,0,NA,0
"175",11,1998,0.823643684387207,0,NA,0
"176",11,1999,0.812267959117889,0,NA,0
"177",11,2000,0.927011489868164,0,NA,0
"178",11,2001,0.949080526828766,0,NA,0
"179",11,2002,0.976354956626892,0,NA,0
"180",11,2003,1.58177518844604,0,NA,0
"181",11,2004,1.64992928504944,0,NA,0
