"outcome","treatment","began_convo","age","gender","partyideology","pre_therm_voter_outparty_rescaled"
-1.31411466871166,0,TRUE,35,"Female",4,-0.692847878821541
-0.902321958060324,0,TRUE,28,"Male",1,-0.843099893328476
0.295620472925387,1,TRUE,40,"Male",3,-0.467469857061139
1.00689879132315,1,TRUE,31,"Male",2,0.0959751973398654
-0.378222144504075,0,TRUE,19,"Male",2,-0.429906853434406
-0.75257915418711,0,TRUE,47,"Female",2,-0.204528831674004
-0.75257915418711,1,TRUE,57,"Female",1,-0.955788904208677
-0.00386513482104053,0,TRUE,58,"Female",4,-0.129402824420536
0.96946309035485,1,TRUE,51,"Female",1,0.884798273501272
-0.378222144504075,0,TRUE,53,"Female",5,-0.655284875194807
-1.38898607064827,1,TRUE,28,"Female",5,-1.40654494772948
-1.23924326677506,1,TRUE,50,"Male",5,-1.21872992959581
1.38125580100619,0,TRUE,35,"Male",1,1.59849534240921
-1.42642177161657,0,TRUE,61,"Female",2,-1.21872992959581
-0.116172237725951,1,TRUE,55,"Female",2,-1.33141894047601
-1.61360027645809,1,TRUE,33,"Female",5,-1.40654494772948
-0.116172237725951,1,TRUE,31,"Male",2,-0.655284875194807
0.333056173893691,0,TRUE,58,"Male",4,0.471605233607202
-0.453093546440682,0,TRUE,65,"Female",3,-0.204528831674004
-0.902321958060324,1,TRUE,46,"Male",3,-0.467469857061139
0.932027389386547,1,TRUE,39,"Female",4,0.0208491900863981
2.12996982037226,1,TRUE,58,"Female",5,0.509168237233935
-1.61360027645809,1,TRUE,26,"Male",1,-1.40654494772948
0.744848884545029,1,TRUE,23,"Male",3,0.471605233607202
0.295620472925387,1,TRUE,46,"Female",2,-1.29385593684928
-1.46385747258488,1,TRUE,70,"Male",5,-1.25629293322255
1.86791991359413,1,TRUE,61,"Female",3,1.97412537867655
0.0710062671155664,1,TRUE,46,"Male",3,0.283790215473534
0.819720286481636,1,TRUE,65,"Male",4,1.03505028800821
0.445363276798601,0,TRUE,42,"Male",2,0.0959751973398654
-1.16437186483845,0,TRUE,54,"Female",5,-1.36898194410275
1.75561281068922,1,TRUE,57,"Female",3,0.509168237233935
-0.677707752250503,1,TRUE,45,"Female",3,-1.03091491146214
0.96946309035485,1,TRUE,30,"Female",2,-0.0918398207938028
-1.23924326677506,1,TRUE,53,"Male",2,-1.40654494772948
0.894591688418243,1,TRUE,27,"Female",3,0.546731240860669
0.258184771957084,1,TRUE,44,"Male",3,0.847235269874538
-1.61360027645809,1,TRUE,36,"Male",5,-1.40654494772948
-1.61360027645809,1,TRUE,33,"Female",1,-1.40654494772948
2.12996982037226,1,TRUE,50,"Female",3,2.34975541494388
-0.490529247408986,1,TRUE,65,"Male",4,-0.242091835300737
0.258184771957084,1,TRUE,21,"Male",2,-0.279654838927471
2.12996982037226,0,TRUE,22,"Female",4,2.34975541494388
0.258184771957084,1,TRUE,32,"Male",2,-1.03091491146214
-0.0787365367576475,1,TRUE,39,"Male",2,-0.279654838927471
-0.790014855155414,1,TRUE,34,"Female",1,-1.03091491146214
0.258184771957084,0,TRUE,29,"Female",4,0.471605233607202
-0.303350742567468,0,TRUE,59,"Male",3,-0.279654838927471
-0.191043639662558,1,TRUE,31,"Female",1,0.283790215473534
-0.00386513482104053,0,TRUE,36,"Female",5,0.0959751973398654
-1.05206476193354,0,TRUE,31,"Female",4,-1.06847791508888
