"Z","D","Y"
0,0,-0.977054536342621
0,1,0.993014872074127
0,0,1.36326420307159
0,1,1.66188371181488
0,0,-1.05229008197784
0,1,-1.18962895870209
0,0,-0.94609123468399
0,0,-0.0693772807717323
0,0,-1.2640346288681
0,1,1.33029580116272
0,1,1.20437455177307
0,1,-0.364213526248932
0,1,-0.0712039843201637
0,0,-1.23369252681732
0,1,0.773078262805939
0,0,1.44427168369293
0,0,-1.44271922111511
0,1,1.4936341047287
0,1,0.16642689704895
0,2,-0.901571154594421
0,2,-0.963257133960724
0,0,-1.33843791484833
0,1,1.18652141094208
0,1,-0.590040385723114
0,0,-0.106721341609955
0,1,0.650178015232086
0,2,-0.111277967691422
0,1,0.829731822013855
0,2,1.6051299571991
0,0,-1.60168480873108
0,2,1.43493020534515
0,0,-0.401768773794174
0,2,-0.445562243461609
0,1,-0.371266931295395
0,0,-1.47133302688599
0,1,1.38570010662079
0,0,-0.365308582782745
0,2,1.77211630344391
0,1,-1.13558804988861
0,0,-1.56989169120789
0,2,0.106137841939926
0,0,-0.411161780357361
0,1,-0.185727834701538
0,1,0.341676890850067
0,1,-0.650395750999451
0,1,0.56614363193512
0,2,1.27010977268219
0,1,-1.21825242042542
1,2,-1.255038022995
1,2,0.51345294713974
1,0,-1.60168480873108
1,2,-0.228816732764244
1,2,0.88629162311554
1,2,-1.27546787261963
1,2,0.506399571895599
1,2,-0.0925488397479057
0,2,1.35179138183594
0,2,1.2882307767868
0,1,0.765505969524384
0,0,0.111376851797104
0,0,0.885906338691711
1,0,-1.01030600070953
1,2,-0.891311407089233
1,0,-1.07518362998962
1,1,1.66331005096436
1,2,-1.03891003131866
1,0,-1.18389391899109
1,2,-0.123776711523533
1,1,-0.588721990585327
1,2,-0.478960901498795
1,0,-1.11076974868774
1,1,0.47503125667572
1,1,-0.196245327591896
1,2,0.679796516895294
1,2,0.855314910411835
1,2,1.04038655757904
1,2,-1.13645219802856
1,2,0.570268034934998
1,2,0.147257700562477
1,2,1.32715702056885
1,1,1.11503744125366
1,2,0.514201939105988
1,0,-1.13111984729767
1,2,-0.366170197725296
1,2,0.358737200498581
1,2,-0.0441096648573875
1,2,-0.107727907598019
1,0,-1.04848456382751
1,1,1.53193235397339
1,0,0.0407595001161098
1,2,1.25253093242645
1,1,1.3175300359726
1,2,0.420078307390213
1,2,-1.37784421443939
1,1,0.855605781078339
1,1,-1.24940729141235
1,0,-0.0389369167387486
1,2,0.731210052967072
1,2,0.27576071023941
1,2,0.823039293289185
0,0,-0.153171196579933
0,1,-0.743243932723999
0,0,-1.34416055679321
0,1,1.19887042045593
0,0,-1.14512610435486
0,0,0.0919118821620941
0,0,0.308521240949631
0,1,-0.295366197824478
0,0,-0.699492216110229
0,1,0.553455710411072
0,1,0.868363797664642
0,0,-0.947363018989563
0,1,1.29460835456848
0,1,0.0258559472858906
0,0,0.0244798250496387
0,1,-1.38040471076965
1,2,-0.18620403110981
1,1,-0.449910074472427
1,2,-0.995681166648865
1,2,-0.194701001048088
1,1,-0.0526729896664619
1,2,0.273823797702789
1,2,0.830572724342346
1,2,-0.289744049310684
1,1,1.01800405979156
1,2,-0.970020949840546
1,2,-1.05926489830017
1,2,-0.621828615665436
1,2,0.206741631031036
1,2,-0.254241347312927
1,2,0.451776891946793
1,2,-0.418716102838516
1,0,-0.61802077293396
1,0,-1.41027557849884
1,1,1.37452173233032
1,2,0.178924590349197
1,0,-1.29708480834961
1,1,1.22647321224213
1,2,0.908207535743713
1,2,0.0121774906292558
1,0,-1.22143197059631
1,0,-1.09552383422852
1,1,0.987083971500397
1,2,0.474164545536041
1,0,-0.663166999816895
1,2,0.917452454566956
1,2,0.451926440000534
1,0,-1.60168480873108
0,2,-0.329290270805359
0,0,-0.718813478946686
0,0,-1.24242258071899
0,0,-1.15721714496613
0,1,0.909235715866089
0,1,0.289010673761368
0,1,0.652139663696289
0,1,0.408675670623779
0,2,-0.270790904760361
0,0,-0.528575301170349
0,1,0.590058445930481
0,0,-1.20581030845642
0,0,-1.2589453458786
1,1,1.1620397567749
1,2,1.8270605802536
1,2,0.550681591033936
1,2,0.793823957443237
1,2,1.17256343364716
1,2,0.487939834594727
1,2,0.822912573814392
1,1,-0.655922114849091
1,2,-0.0587395802140236
1,2,0.28652635216713
1,2,1.80480551719666
1,0,-0.17988233268261
1,0,-0.946727156639099
1,0,-0.938436388969421
1,0,-0.994409441947937
1,0,-1.37402653694153
1,1,-0.806444704532623
1,1,0.421245574951172
1,2,0.0802638679742813
1,1,0.270720481872559
1,2,0.25782898068428
1,2,0.356711715459824
1,1,-0.541675567626953
1,0,-1.00587213039398
1,2,-0.668219566345215
1,0,-1.53809857368469
1,0,0.268434822559357
1,1,-0.569629013538361
1,2,-0.122608080506325
1,2,0.271241128444672
1,0,-0.82360315322876
1,0,-1.08216834068298
1,1,1.14557361602783
1,2,0.122245632112026
1,1,-0.378236919641495
1,1,0.745298326015472
1,2,-0.149967283010483
1,0,-1.09044182300568
1,2,-0.099886491894722
1,0,-1.1750066280365
1,2,0.359806895256042
1,1,1.36400806903839
1,0,-0.9238361120224
1,0,-0.65040796995163
1,0,-0.519003093242645
1,0,-0.771231591701508
1,0,-1.12796747684479
1,1,-0.246237874031067
1,1,0.513244688510895
1,0,1.24943041801453
1,1,-0.259986162185669
1,2,-0.20819565653801
1,2,0.639714241027832
1,2,0.0422864370048046
1,0,-1.50630533695221
1,1,0.891908645629883
1,2,-0.652142524719238
1,2,-0.51818060874939
1,1,-0.772024631500244
1,2,1.60374295711517
1,1,1.36790943145752
1,2,1.46292996406555
1,2,-0.189503774046898
1,2,1.56653654575348
1,1,1.61584138870239
1,2,0.715200483798981
0,1,-0.0515658818185329
0,1,1.53263223171234
0,1,1.06228053569794
0,1,-0.106350600719452
0,0,0.202123612165451
0,1,0.283550649881363
0,1,-0.485717207193375
0,0,-0.714635014533997
0,1,0.403075724840164
0,1,0.0771311894059181
0,1,0.599374175071716
0,1,1.06286215782166
0,1,-0.31883904337883
0,1,0.456210553646088
0,0,-1.4147412776947
0,0,-1.2455872297287
0,1,0.766944587230682
0,1,1.01130139827728
1,2,-0.931451737880707
1,2,1.15398728847504
1,0,-1.38674378395081
1,2,1.23919498920441
1,0,-1.25703036785126
1,0,0.0636406168341637
1,2,0.79701155424118
1,2,0.496824890375137
1,0,1.8270605802536
1,1,-0.0851191356778145
1,2,0.649880945682526
1,2,-0.294342309236526
1,2,-0.176702901721001
1,2,-0.726721227169037
1,0,-0.912395477294922
1,2,0.141429379582405
1,0,0.360573530197144
1,2,0.892424404621124
1,0,-1.1211816072464
1,2,-0.0704844817519188
1,0,-1.56989169120789
1,0,-1.60168480873108
