"","Year","MunCode","Party","SIGLA_PARTIDO","NOME_CANDIDATO","Voteshare","Winner","Woman","Margin","Voters","Female.Voters","Male.Voters","Recruit.Share","Gender.Gap","Attrition.Rate","Attrition.Rate.Female","Attrition.Rate.Male","Switch.Rate.Female","Switch.Rate.Male","Renominated","Advanced","Cumulative.Female.Recruits.Share","Recruit.Share.Lagged","Gender.Gap.Lagged","Attrition.Rate.Lagged","University","Incumbent","Married","Age","Dynastic","Insider","Time.In.Party","Time.In.Politics","Prior.Office","First.Female.Mayor","Prior.Female.Mayors","Challenger_Incumbent","Challenger_Time.In.Politics","Illiteracy_2000","UrbanizationRate_2000","HDI_2000","HDI_2010","Population_2000","Female.Participation.Rate","Voter.Gender.Ratio","PT.Deputies.Voteshare","Gender.Gap.Year1","Gender.Gap.Year2","Gender.Gap.Year3","Gender.Gap.Year4","Woman.CouncilCandidatesShare.AllParties","Woman.Councilors.Share.AllParties","Female.Donations.Ratio"
"2275",2012,"64734","PP","PP","CLAUDINEIA GUIMARAES DA SILVA",0.275286618564915,FALSE,TRUE,-0.226063476605728,27947,13844,14019,0.39360217554657,0.210388514089693,0.363636363636364,0.5,0.285714285714286,0.5,0.285714285714286,NA,NA,28.6044495810459,1.03722484729745,0.671543527850572,0.62962962962963,FALSE,FALSE,TRUE,37,TRUE,FALSE,1,5,"None",TRUE,0,TRUE,17,14.248,0.972269583400354,0.685903903,0.7560213334,31085,0.474671669793621,0.987516941293958,0.159363906044838,0,0,-0.00270508351041068,0.355757125669153,0.336842105263158,0.363636363636364,0.310602847839222
"2276",2004,"64831","DEM","PFL","ELAINE APARECIDA CARDOSO DE OLIVEIRA",0.298561774389187,FALSE,TRUE,-0.336510136891353,7069,3457,3595,2.2634035931532,0.478599990424781,0.1875,0.142857142857143,0.222222222222222,0,0.222222222222222,FALSE,FALSE,16.7775527914377,2.9083116485535,3.13662165038112,0.947368421052632,TRUE,FALSE,TRUE,39,FALSE,NA,NA,NA,"None",TRUE,0,FALSE,9,10.022,0.854141511712147,0.755661042,0.7967156749,8282,0.574358974358974,0.961613351877608,0.111954070125077,0.278164116828929,0,-0.088832277980659,0,0.282608695652174,0.111111111111111,0.515192700030437
"2277",2008,"64831","PV","PV","DENISE APARECIDA RIBEIRO",0.383223975882249,FALSE,TRUE,-0.150203936868239,6461,3220,3228,1.23819842129701,1.23761804705719,0.25,0,0.333333333333333,0,0.333333333333333,TRUE,FALSE,52.7950310559006,19.6633187155185,14.8326569661926,0.122302158273381,FALSE,FALSE,TRUE,61,NA,FALSE,1,1,"None",TRUE,0,TRUE,13,10.022,0.854141511712147,0.755661042,0.7967156749,8282,0.574358974358974,0.997521685254027,0.0468968269806426,0.309789343246592,0,0.927828703810601,0,0.339622641509434,0.333333333333333,1.75939721595505
"2278",2012,"64831","PV","PV","DENISE APARECIDA RIBEIRO",0.460282733086503,FALSE,TRUE,-0.0328172332547964,7139,3548,3579,1.12060512676845,-1.13227826230488,0,0,0,0,0,FALSE,NA,65.9526493799324,1.23819842129701,1.23761804705719,0.25,FALSE,FALSE,TRUE,65,NA,TRUE,5,5,"None",TRUE,0,FALSE,17,10.022,0.854141511712147,0.755661042,0.7967156749,8282,0.574358974358974,0.991338362671137,0.15484123872991,0,0,-0.291614021791277,0.276966382565466,0.344262295081967,0.333333333333333,0.713221516226393
"2279",2016,"64831","REPUBLICANOS","PRB","APARECIDA DE FATIMA PINHEIRO",0.208384520884521,FALSE,TRUE,-0.285012285012285,8040,4002,4027,0.373134328358209,-0.251426310683744,0.333333333333333,0,1,0,0,NA,NA,73.2133933033483,4.34234486622776,-2.00223778127011,0.0645161290322581,TRUE,FALSE,FALSE,60,FALSE,NA,NA,0,"None",TRUE,0,FALSE,21,10.022,0.854141511712147,0.755661042,0.7967156749,8282,0.574358974358974,0.993791904643655,0.0540240518038853,0,-0.251426310683744,0,0,0.333333333333333,0.111111111111111,0.635008606772839
"2280",2016,"64858","PV","PV","MARINA DA ANGELA PACANARO",0.276127862162775,FALSE,TRUE,-0.44774427567445,5475,2712,2732,2.19178082191781,-0.0161961155236527,0,0,0,0,0,NA,NA,84.8082595870206,2.03968106805118,-0.492581562634445,0,TRUE,FALSE,TRUE,64,FALSE,TRUE,5,13,"VICE-PREFEITO",TRUE,0,FALSE,13,14.479,0.706914344685243,0.616369939,0.6702797649,6783,0.50327868852459,0.992679355783309,0.105075445816187,0,0,0,-0.0161961155236527,0.333333333333333,0.111111111111111,0.846686128230079
"2281",2008,"64912","DEM","DEM","ZILDA VAZ NOGUEIRA",0.413557668861253,FALSE,TRUE,-0.108266276517922,4759,2340,2418,1.47089724732087,0.372208436724566,0,0,0,0,0,FALSE,FALSE,37.6068376068376,5.72792362768496,-2.05506872875737,0.125,FALSE,FALSE,TRUE,52,TRUE,TRUE,9,9,"None",TRUE,0,TRUE,5,10.64,0.89335204350114,0.643645824,0.7401374823,5701,0.479299363057325,0.967741935483871,0.0606508875739645,0,0,0.372208436724566,0,0.35,0.222222222222222,0.999237614984344
"2282",2016,"64939","PSB","PSB","CRISTINA MARIA KALIL ARANTES",0.578801500659073,TRUE,TRUE,0.157603001318146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,59,TRUE,NA,NA,13,"VICE-PREFEITO",TRUE,0,TRUE,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2283",2012,"64971","PSC","PSC","JULIANA RODRIGUES DOS SANTOS",0.397701149425287,TRUE,TRUE,0.00300618921308576,6917,3346,3566,0.144571345959231,0.280426247896803,0,0,0,NA,0,FALSE,NA,138.374178123132,3.04831580551745,-4.58963698557733,0.85,TRUE,FALSE,FALSE,35,NA,FALSE,1,9,"None",TRUE,0,TRUE,13,10.269,0.848641464855286,0.788612067,0.7709274359,6772,0.515883100381194,0.938306225462703,0.167403803626714,0,0,0,0.280426247896803,0.329545454545455,0.222222222222222,1.69633634370602
"2284",2016,"64971","DEM","DEM","MARIA DE LOURDES GOMES DA SILVA DE MORAIS",0.382151029748284,TRUE,TRUE,0.00381388253241799,6747,3323,3419,2.51963835778865,-0.368530569949646,0,0,0,0,0,NA,NA,164.30935901294,1.59028480555154,-0.391054654120288,0.272727272727273,FALSE,FALSE,TRUE,67,TRUE,TRUE,17,17,"None",FALSE,1,FALSE,13,10.269,0.848641464855286,0.788612067,0.7709274359,6772,0.515883100381194,0.971921614507166,0.0913461538461538,0,0,0,-0.368530569949646,0.356435643564356,0.333333333333333,3.05598861598212
